2026.01.15 23:29:00 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.01.15 23:29:02 INFO  no build target found for C:\Users\rahul\My Repos\My_Python-codes\Tensorflow_Files\new.scala. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.15 23:29:29 INFO  no build target found for C:\Users\rahul\My Repos\My_Python-codes\Tensorflow_Files\new.scala. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.15 23:29:36 INFO  Running List(C:\Users\rahul\AppData\Local\Coursier\data\bin\scala-cli.BAT, setup-ide, C:\Users\rahul\My Repos\My_Python-codes)
2026.01.15 23:29:37 INFO  Attempting to connect to the build server...
2026.01.15 23:29:37 INFO  Running BSP server List(C:\Users\rahul\AppData\Local\Coursier\data\bin\.scala-cli.aux.exe, bsp, --json-options, C:\Users\rahul\My Repos\My_Python-codes\.scala-build\ide-options-v2.json, --json-launcher-options, C:\Users\rahul\My Repos\My_Python-codes\.scala-build\ide-launcher-options.json, --envs-file, C:\Users\rahul\My Repos\My_Python-codes\.scala-build\ide-envs.json, C:\Users\rahul\My Repos\My_Python-codes)
2026.01.15 23:29:38 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\Users\rahul\My Repos\My_Python-codes\.metals\bsp.trace.json or C:\Users\rahul\AppData\Local\scalameta\metals\cache\bsp.trace.json
2026.01.15 23:29:39 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.15 23:29:40 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.15 23:29:40 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.15 23:29:40 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.15 23:29:40 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.15 23:29:41 INFO  BSP server: Failed to download https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.15 23:29:41 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.15 23:29:42 INFO  BSP server: Failed to download https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.15 23:29:42 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.15 23:29:42 INFO  BSP server: Failed to download https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.15 23:29:42 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.15 23:29:44 INFO  BSP server: Failed to download https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.15 23:29:44 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.15 23:29:46 INFO  BSP server: Downloaded https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.15 23:29:46 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.21/logback-classic-1.5.21.pom
2026.01.15 23:29:46 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2026.01.15 23:29:46 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.17/bloop-shared_2.12-2.0.17.pom
2026.01.15 23:29:46 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2026.01.15 23:29:46 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2026.01.15 23:29:46 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.17/bloop-backend_2.12-2.0.17.pom
2026.01.15 23:29:46 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.17/bloop-backend_2.12-2.0.17.pom
2026.01.15 23:29:46 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
